dsfafasg
0	1
5	20
10	55
15	85
20	133
25	182
30	225
35	258
40	269
45	270
50	256
55	226
60	184
65	130
70	88
75	48
80	18
85	2
90	2
95	19
100	51
105	89
110	138
115	181
120	226
125	256
130	271
135	271
140	254
145	222
150	179
155	129
160	88
165	50
170	16
175	1
180	2
185	20
190	53
195	90
200	137
205	185
210	225
215	256
220	271
225	271
230	253
235	218
240	180
245	120
250	84
255	44
260	17
265	1
270	2
275	19
280	48
285	90
290	135
295	184
300	223
305	254
310	271
315	270
320	253
325	221
330	182
335	138
340	91
345	52
350	22
355	1
360	1
